event_id,event_date,post_created_at,chapter,event_class,stage,status,kind,pages_manuscript,n_pages,chapters_remaining,n_chapters,source_text_ja,extraction_method,confidence,notes,tweet_id,source_url
E00294,2022-06-16,2022-06-16,398,page_completed,,,,16,1,,,,image_transcription,medium,chapter via cycle_anchor,1537269290688122881,https://x.com/Un4v5s8bgsVk9Xp/status/1537269290688122881
E00295,2022-06-17,2022-06-17,398,page_completed,,,,17,1,,,,image_transcription,high,chapter via reviewer_anchor,1537632258311323648,https://x.com/Un4v5s8bgsVk9Xp/status/1537632258311323648
E00296,2022-06-18,2022-06-18,398,page_completed,,,,18 19,2,,,,image_transcription,medium,chapter via cycle_anchor,1537993636297658369,https://x.com/Un4v5s8bgsVk9Xp/status/1537993636297658369
E00003,2022-06-19,2022-06-19T03:01:51.923000+00:00,,batch_countdown,,,,,,2,,取り敢えず、あと2話。,text_explicit,high,,1538356359007072256,https://x.com/Un4v5s8bgsVk9Xp/status/1538356359007072256
E00297,2022-06-20,2022-06-20,399,page_completed,,,,3,1,,,,image_transcription,medium,chapter via cycle_anchor,1538794911759077378,https://x.com/Un4v5s8bgsVk9Xp/status/1538794911759077378
E00298,2022-06-21,2022-06-21,399,page_completed,,,,4,1,,,,image_transcription,medium,chapter via cycle_anchor,1539081629632630784,https://x.com/Un4v5s8bgsVk9Xp/status/1539081629632630784
E00299,2022-06-22,2022-06-22,399,page_completed,,,,5,1,,,,image_transcription,medium,chapter via cycle_anchor,1539443851487694848,https://x.com/Un4v5s8bgsVk9Xp/status/1539443851487694848
E00300,2022-06-23,2022-06-23,399,page_completed,,,,6,1,,,,image_transcription,medium,chapter via cycle_anchor,1539806147745484800,https://x.com/Un4v5s8bgsVk9Xp/status/1539806147745484800
E00301,2022-06-24,2022-06-24,399,page_completed,,,,7,1,,,,image_transcription,medium,chapter via cycle_anchor,1540177798618263552,https://x.com/Un4v5s8bgsVk9Xp/status/1540177798618263552
E00302,2022-06-25,2022-06-25,399,page_completed,,,,8,1,,,,image_transcription,medium,chapter via cycle_anchor,1540530537512611841,https://x.com/Un4v5s8bgsVk9Xp/status/1540530537512611841
E00303,2022-06-26,2022-06-26,399,page_completed,,,,9,1,,,,image_transcription,high,chapter via reviewer_anchor,1540895966798028801,https://x.com/Un4v5s8bgsVk9Xp/status/1540895966798028801
E00304,2022-06-27,2022-06-27,399,page_completed,,,,10,1,,,,image_transcription,high,chapter via reviewer_anchor,1541255538029125633,https://x.com/Un4v5s8bgsVk9Xp/status/1541255538029125633
E00305,2022-06-28,2022-06-28,399,page_completed,,,,11,1,,,,image_transcription,high,chapter via reviewer_anchor,1541676030489833472,https://x.com/Un4v5s8bgsVk9Xp/status/1541676030489833472
E00306,2022-06-29,2022-06-29,399,page_completed,,,,12,1,,,,image_transcription,high,chapter via reviewer_anchor,1541980381552922624,https://x.com/Un4v5s8bgsVk9Xp/status/1541980381552922624
E00307,2022-06-30,2022-06-30,399,page_completed,,,,13,1,,,,image_transcription,high,chapter via reviewer_anchor,1542343325021196291,https://x.com/Un4v5s8bgsVk9Xp/status/1542343325021196291
E00308,2022-07-01,2022-07-01,399,page_completed,,,,14,1,,,,image_transcription,high,chapter via reviewer_anchor,1542705613519523840,https://x.com/Un4v5s8bgsVk9Xp/status/1542705613519523840
E00309,2022-07-02,2022-07-02,399,page_completed,,,,15,1,,,,image_transcription,high,chapter via reviewer_anchor,1543068288862760960,https://x.com/Un4v5s8bgsVk9Xp/status/1543068288862760960
E00310,2022-07-03,2022-07-03,399,page_completed,,,,16,1,,,,image_transcription,high,chapter via reviewer_anchor,1543431031293767680,https://x.com/Un4v5s8bgsVk9Xp/status/1543431031293767680
E00311,2022-07-04,2022-07-04,399,page_completed,,,,17,1,,,,image_transcription,high,chapter via reviewer_anchor,1543792686947110912,https://x.com/Un4v5s8bgsVk9Xp/status/1543792686947110912
E00312,2022-07-05,2022-07-05,399,page_completed,,,,18,1,,,,image_transcription,high,chapter via reviewer_anchor,1544155535347290113,https://x.com/Un4v5s8bgsVk9Xp/status/1544155535347290113
E00313,2022-07-06,2022-07-06,399,page_completed,,,,19,1,,,,image_transcription,high,chapter via reviewer_anchor,1544517962953920513,https://x.com/Un4v5s8bgsVk9Xp/status/1544517962953920513
E00004,2022-07-07,2022-07-07T03:04:45.774000+00:00,,batch_countdown,,,,,,1,,取り敢えず、あと1話。,text_explicit,high,,1544880069771833344,https://x.com/Un4v5s8bgsVk9Xp/status/1544880069771833344
E00314,2022-07-08,2022-07-08,400,page_completed,,,,2,1,,,,image_transcription,high,chapter via reviewer_anchor,1545242707840225281,https://x.com/Un4v5s8bgsVk9Xp/status/1545242707840225281
E00315,2022-07-09,2022-07-09,400,page_completed,,,,3,1,,,,image_transcription,high,chapter via reviewer_anchor,1545606271935533059,https://x.com/Un4v5s8bgsVk9Xp/status/1545606271935533059
E00316,2022-07-10,2022-07-10,400,page_completed,,,,4,1,,,,image_transcription,high,chapter via reviewer_anchor,1545966491199188993,https://x.com/Un4v5s8bgsVk9Xp/status/1545966491199188993
E00317,2022-07-11,2022-07-11,400,page_completed,,,,5,1,,,,image_transcription,high,chapter via reviewer_anchor,1546329266433826816,https://x.com/Un4v5s8bgsVk9Xp/status/1546329266433826816
E00318,2022-07-12,2022-07-12,400,page_completed,,,,6,1,,,,image_transcription,high,chapter via reviewer_anchor,1546691419129098245,https://x.com/Un4v5s8bgsVk9Xp/status/1546691419129098245
E00319,2022-07-13,2022-07-13,400,page_completed,,,,7,1,,,,image_transcription,medium,chapter via cycle_anchor,1547054032136863744,https://x.com/Un4v5s8bgsVk9Xp/status/1547054032136863744
E00320,2022-07-14,2022-07-14,400,page_completed,,,,8,1,,,,image_transcription,high,chapter via reviewer_anchor,1547423498426978304,https://x.com/Un4v5s8bgsVk9Xp/status/1547423498426978304
E00321,2022-07-15,2022-07-15,400,page_completed,,,,9,1,,,,image_transcription,medium,chapter via cycle_anchor,1547778808207380485,https://x.com/Un4v5s8bgsVk9Xp/status/1547778808207380485
E00322,2022-07-16,2022-07-16,400,page_completed,,,,10,1,,,,image_transcription,high,chapter via reviewer_anchor,1548141221406642177,https://x.com/Un4v5s8bgsVk9Xp/status/1548141221406642177
E00323,2022-07-17,2022-07-17,400,page_completed,,,,11,1,,,,image_transcription,medium,chapter via cycle_anchor,1548503498697760768,https://x.com/Un4v5s8bgsVk9Xp/status/1548503498697760768
E00324,2022-07-18,2022-07-18,400,page_completed,,,,12,1,,,,image_transcription,high,chapter via reviewer_anchor,1548865803268734976,https://x.com/Un4v5s8bgsVk9Xp/status/1548865803268734976
E00325,2022-07-19,2022-07-19,400,page_completed,,,,13,1,,,,image_transcription,high,chapter via reviewer_anchor,1549228293349466112,https://x.com/Un4v5s8bgsVk9Xp/status/1549228293349466112
E00326,2022-07-20,2022-07-20,400,page_completed,,,,14,1,,,,image_transcription,high,chapter via reviewer_anchor,1549591364169437184,https://x.com/Un4v5s8bgsVk9Xp/status/1549591364169437184
E00327,2022-07-21,2022-07-21,400,page_completed,,,,15,1,,,,image_transcription,high,chapter via reviewer_anchor,1549952765966725120,https://x.com/Un4v5s8bgsVk9Xp/status/1549952765966725120
E00328,2022-07-22,2022-07-22,400,page_completed,,,,16,1,,,,image_transcription,high,chapter via reviewer_anchor,1550315226242764802,https://x.com/Un4v5s8bgsVk9Xp/status/1550315226242764802
E00329,2022-07-23,2022-07-23,400,page_completed,,,,17,1,,,,image_transcription,high,chapter via reviewer_anchor,1550677625844027392,https://x.com/Un4v5s8bgsVk9Xp/status/1550677625844027392
E00330,2022-07-24,2022-07-24,400,page_completed,,,,18,1,,,,image_transcription,medium,chapter via cycle_anchor,1551045024028143616,https://x.com/Un4v5s8bgsVk9Xp/status/1551045024028143616
E00331,2022-07-25,2022-07-25,400,page_completed,,,,19,1,,,,image_transcription,high,chapter via reviewer_anchor,1551402850256707586,https://x.com/Un4v5s8bgsVk9Xp/status/1551402850256707586
E00005,2022-07-26,2022-07-26T04:17:22.047000+00:00,,batch_scope,character_inking,,,,,,10,取り敢えず人物ペン入れ10話分完了。,text_explicit,high,,1551783710751485952,https://x.com/Un4v5s8bgsVk9Xp/status/1551783710751485952
E00006,2022-07-26,2022-07-26T04:17:22.047000+00:00,,batch_scope,,,,,,,10,引き続き次の10話分の原稿進めます。,text_explicit,high,,1551783710751485952,https://x.com/Un4v5s8bgsVk9Xp/status/1551783710751485952
E00007,2022-07-27,2022-07-27T03:09:37.412000+00:00,391,chapter_stage,manuscript_complete,complete,,,,,,完成。,text_explicit,high,"bare status, scoped to chapter",1552129050302226432,https://x.com/Un4v5s8bgsVk9Xp/status/1552129050302226432
E00008,2022-07-27,2022-07-27T03:09:37.412000+00:00,392,chapter_stage,chapter_level,under_review,,,,,,確認中。,text_explicit,high,"bare status, scoped to chapter",1552129050302226432,https://x.com/Un4v5s8bgsVk9Xp/status/1552129050302226432
E00009,2022-07-28,2022-07-28T03:16:45.756000+00:00,392,chapter_stage,chapter_level,retake,,,,,,リテイク原稿の返却待ち,text_explicit,high,"bare status, scoped to chapter",1552493234772779008,https://x.com/Un4v5s8bgsVk9Xp/status/1552493234772779008
E00010,2022-07-28,2022-07-28T03:16:45.756000+00:00,393,chapter_stage,chapter_level,under_review,,,,,,確認中。,text_explicit,high,"bare status, scoped to chapter",1552493234772779008,https://x.com/Un4v5s8bgsVk9Xp/status/1552493234772779008
E00011,2022-07-29,2022-07-29T03:29:58.758000+00:00,393,chapter_stage,bg_spec,complete,,,,,,リテイクの指示作成終了。,text_explicit,high,,1552858948729876482,https://x.com/Un4v5s8bgsVk9Xp/status/1552858948729876482
E00012,2022-07-29,2022-07-29T03:29:58.758000+00:00,394,chapter_stage,dialogue,in_progress,,,,,,フキダシ内の台詞清書中。,text_explicit,high,,1552858948729876482,https://x.com/Un4v5s8bgsVk9Xp/status/1552858948729876482
E00013,2022-07-30,2022-07-30T06:10:20.603000+00:00,393,chapter_stage,chapter_level,retake,,,,,,リテイク原稿の返却待ち。,text_explicit,high,"bare status, scoped to chapter",1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00014,2022-07-30,2022-07-30T06:10:20.603000+00:00,394,chapter_stage,bg_work,awaiting_return,,,,,,背景効果の返却待ち。,text_explicit,high,,1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00015,2022-07-30,2022-07-30T06:10:20.603000+00:00,395,chapter_stage,bg_work,awaiting_return,,,,,,背景効果の返却待ち。,text_explicit,high,,1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00016,2022-07-30,2022-07-30T06:10:20.603000+00:00,396,chapter_stage,bg_work,awaiting_return,,,,,,背景効果の返却待ち。,text_explicit,high,,1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00017,2022-07-30,2022-07-30T06:10:20.603000+00:00,397,chapter_stage,panel_layout,,,,,,,オレの枠線・フキダシ,text_explicit,medium,,1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00018,2022-07-30,2022-07-30T06:10:20.603000+00:00,397,chapter_stage,bg_spec,awaiting_return,,,,,,背景効果指定の作成待ち。,text_explicit,high,,1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00019,2022-07-30,2022-07-30T06:10:20.603000+00:00,398,chapter_stage,panel_layout,,,,,,,オレの枠線・フキダシ,text_explicit,medium,,1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00020,2022-07-30,2022-07-30T06:10:20.603000+00:00,398,chapter_stage,bg_spec,awaiting_return,,,,,,背景効果指定の作成待ち。,text_explicit,high,,1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00021,2022-07-30,2022-07-30T06:10:20.603000+00:00,399,chapter_stage,chapter_level,under_review,,,,,,確認中。,text_explicit,high,"bare status, scoped to chapter",1553261693538484224,https://x.com/Un4v5s8bgsVk9Xp/status/1553261693538484224
E00332,2022-07-30,2022-07-30,401,page_completed,,,,5,1,,,,image_transcription,medium,chapter via cycle_anchor,1553257639051546625,https://x.com/Un4v5s8bgsVk9Xp/status/1553257639051546625
E00022,2022-07-31,2022-07-31T03:06:35.056000+00:00,394,chapter_stage,dialogue,complete,,,,,,台詞清書完了。,text_explicit,high,,1553577836908204032,https://x.com/Un4v5s8bgsVk9Xp/status/1553577836908204032
E00023,2022-07-31,2022-07-31T03:06:35.056000+00:00,397,chapter_stage,panel_layout,complete,,,,,,枠線・フキダシ完了。,text_explicit,high,,1553577836908204032,https://x.com/Un4v5s8bgsVk9Xp/status/1553577836908204032
E00024,2022-07-31,2022-07-31T03:06:35.056000+00:00,397,chapter_stage,bg_spec,in_progress,,,,,,背景効果指定作成中。,text_explicit,high,,1553577836908204032,https://x.com/Un4v5s8bgsVk9Xp/status/1553577836908204032
E00333,2022-08-01,2022-08-01,401,page_completed,,,,8,1,,,,image_transcription,high,chapter via reviewer_anchor,1553943032554106882,https://x.com/Un4v5s8bgsVk9Xp/status/1553943032554106882
E00334,2022-08-02,2022-08-02,401,page_completed,,,,9,1,,,,image_transcription,high,chapter via reviewer_anchor,1554301262388084736,https://x.com/Un4v5s8bgsVk9Xp/status/1554301262388084736
E00025,2022-08-03,2022-08-03T03:06:52.018000+00:00,392,chapter_stage,manuscript_complete,complete,,,,,,完成。,text_explicit,high,"bare status, scoped to chapter",1554665071648731136,https://x.com/Un4v5s8bgsVk9Xp/status/1554665071648731136
E00026,2022-08-03,2022-08-03T03:06:52.018000+00:00,395,chapter_stage,dialogue,in_progress,,,,,,台詞清書中。,text_explicit,high,,1554665071648731136,https://x.com/Un4v5s8bgsVk9Xp/status/1554665071648731136
E00027,2022-08-04,2022-08-04T03:05:53.756000+00:00,395,chapter_stage,dialogue,complete,,,,,,台詞清書完了。,text_explicit,high,,1555027215145807878,https://x.com/Un4v5s8bgsVk9Xp/status/1555027215145807878
E00028,2022-08-04,2022-08-04T03:05:53.756000+00:00,396,chapter_stage,dialogue,in_progress,,,,,,台詞清書中。,text_explicit,high,,1555027215145807878,https://x.com/Un4v5s8bgsVk9Xp/status/1555027215145807878
E00335,2022-08-05,2022-08-05,401,page_completed,,,,12,1,,,,image_transcription,high,chapter via reviewer_anchor,1555389385784274946,https://x.com/Un4v5s8bgsVk9Xp/status/1555389385784274946
E00336,2022-08-06,2022-08-06,401,page_completed,,,,13,1,,,,image_transcription,high,chapter via reviewer_anchor,1555751795451777026,https://x.com/Un4v5s8bgsVk9Xp/status/1555751795451777026
E00337,2022-08-07,2022-08-07,401,page_completed,,,,14,1,,,,image_transcription,medium,chapter via cycle_anchor,1556114159313379328,https://x.com/Un4v5s8bgsVk9Xp/status/1556114159313379328
E00338,2022-08-08,2022-08-08,401,page_completed,,,,15,1,,,,image_transcription,medium,chapter via cycle_anchor,1556478800333905920,https://x.com/Un4v5s8bgsVk9Xp/status/1556478800333905920
E00339,2022-08-09,2022-08-09,401,page_completed,,,,16,1,,,,image_transcription,medium,chapter via cycle_anchor,1556839262779088896,https://x.com/Un4v5s8bgsVk9Xp/status/1556839262779088896
E00340,2022-08-10,2022-08-10,401,page_completed,,,,17,1,,,,image_transcription,medium,chapter via cycle_anchor,1557202514189045760,https://x.com/Un4v5s8bgsVk9Xp/status/1557202514189045760
E00341,2022-08-11,2022-08-11,401,page_completed,,,,18,1,,,,image_transcription,medium,chapter via cycle_anchor,1557572968888164352,https://x.com/Un4v5s8bgsVk9Xp/status/1557572968888164352
E00029,2022-08-12,2022-08-12T03:11:00.162000+00:00,399,chapter_stage,bg_spec,in_progress,,,,,,背景効果指定作成中。,text_explicit,high,,1557927603230498817,https://x.com/Un4v5s8bgsVk9Xp/status/1557927603230498817
E00030,2022-08-12,2022-08-12T03:11:00.162000+00:00,,disruption,,,health,,,,,症状が改善せず、治療・回復に,text_explicit,high,,1557927603230498817,https://x.com/Un4v5s8bgsVk9Xp/status/1557927603230498817
E00031,2022-08-15,2022-08-15T10:56:08.293000+00:00,396,chapter_stage,dialogue,complete,,,,,,台詞清書完了。,text_explicit,high,,1559131822012780551,https://x.com/Un4v5s8bgsVk9Xp/status/1559131822012780551
E00032,2022-08-15,2022-08-15T10:56:08.293000+00:00,,disruption,,,workflow_change,,,,,原稿を半デジタル化した事で,text_explicit,high,,1559131822012780551,https://x.com/Un4v5s8bgsVk9Xp/status/1559131822012780551
E00033,2022-08-23,2022-08-23T19:56:29.439000+00:00,393,chapter_stage,chapter_level,retake,,,,,,リテイクのリテイク指定完了。,text_explicit,high,"bare status, scoped to chapter",1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00034,2022-08-23,2022-08-23T19:56:29.439000+00:00,394,chapter_stage,bg_work,awaiting_return,,,,,,背景効果原稿返却。オレの,text_explicit,high,,1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00035,2022-08-23,2022-08-23T19:56:29.439000+00:00,394,chapter_stage,retouch,in_progress,,,,,,加筆中。,text_explicit,high,,1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00036,2022-08-23,2022-08-23T19:56:29.439000+00:00,395,chapter_stage,chapter_level,awaiting_return,,,,,,返却待ち。,text_explicit,high,"bare status, scoped to chapter",1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00037,2022-08-23,2022-08-23T19:56:29.439000+00:00,396,chapter_stage,chapter_level,awaiting_return,,,,,,返却待ち。,text_explicit,high,"bare status, scoped to chapter",1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00038,2022-08-23,2022-08-23T19:56:29.439000+00:00,397,chapter_stage,chapter_level,awaiting_return,,,,,,返却待ち。,text_explicit,high,"bare status, scoped to chapter",1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00039,2022-08-23,2022-08-23T19:56:29.439000+00:00,398,chapter_stage,panel_layout,,,,,,,オレの枠線フキダシ背景指定,text_explicit,medium,multi-stage phrase,1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00040,2022-08-23,2022-08-23T19:56:29.439000+00:00,398,chapter_stage,bg_spec,,,,,,,オレの枠線フキダシ背景指定,text_explicit,medium,multi-stage phrase,1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00041,2022-08-23,2022-08-23T19:56:29.439000+00:00,398,chapter_stage,bg_work,awaiting_return,,,,,,作成完了。背景効果返却待ち。,text_explicit,high,,1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00042,2022-08-23,2022-08-23T19:56:29.439000+00:00,399,chapter_stage,panel_layout,,,,,,,オレの枠線フキダシ背景効果,text_explicit,medium,multi-stage phrase,1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00043,2022-08-23,2022-08-23T19:56:29.439000+00:00,399,chapter_stage,bg_work,,,,,,,オレの枠線フキダシ背景効果,text_explicit,medium,multi-stage phrase,1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00044,2022-08-23,2022-08-23T19:56:29.439000+00:00,399,chapter_stage,bg_spec,in_progress,,,,,,指定作成中。,text_explicit,high,,1562166909079916545,https://x.com/Un4v5s8bgsVk9Xp/status/1562166909079916545
E00045,2022-08-24,2022-08-24T19:04:36.021000+00:00,394,chapter_stage,retouch,retake,,,,,,オレの加筆、リテイク指定,text_explicit,high,,1562516238323986433,https://x.com/Un4v5s8bgsVk9Xp/status/1562516238323986433
E00046,2022-08-24,2022-08-24T19:04:36.021000+00:00,394,chapter_stage,manuscript_complete,complete,,,,,,完了。返却待ち。,text_explicit,high,"bare status, scoped to chapter",1562516238323986433,https://x.com/Un4v5s8bgsVk9Xp/status/1562516238323986433
E00047,2022-08-24,2022-08-24T19:04:36.021000+00:00,,ancillary_work,,,tankobon,,,,,単行本の修正指定作成中。,text_explicit,high,,1562516238323986433,https://x.com/Un4v5s8bgsVk9Xp/status/1562516238323986433
E00048,2022-08-24,2022-08-24T21:57:37.746000+00:00,,ancillary_work,,,tankobon,,,,,単行本用の修正指示作成完了。,text_explicit,high,,1562559782434660352,https://x.com/Un4v5s8bgsVk9Xp/status/1562559782434660352
E00049,2022-08-29,2022-08-29T20:30:01.867000+00:00,399,chapter_stage,bg_spec,complete,,,,,,背景効果指定完了。返却待ち。,text_explicit,high,,1564349677008433152,https://x.com/Un4v5s8bgsVk9Xp/status/1564349677008433152
E00050,2022-08-29,2022-08-29T20:30:01.867000+00:00,400,chapter_stage,bg_spec,awaiting_return,,,,,,オレの指定作成待ち。,text_explicit,high,,1564349677008433152,https://x.com/Un4v5s8bgsVk9Xp/status/1564349677008433152
E00051,2022-08-29,2022-08-29T20:30:01.867000+00:00,,disruption,,,staffing,,,,,スタッフを増員する事にしました。,text_explicit,high,,1564349677008433152,https://x.com/Un4v5s8bgsVk9Xp/status/1564349677008433152
E00052,2022-08-29,2022-08-29T20:30:01.867000+00:00,,disruption,,,staffing,,,,,#公募はしておりません,text_explicit,high,,1564349677008433152,https://x.com/Un4v5s8bgsVk9Xp/status/1564349677008433152
E00053,2022-09-01,2022-09-01T07:26:31.261000+00:00,400,chapter_stage,bg_spec,complete,,,,,,指定作成完了。返却待ち。,text_explicit,high,,1565239663832760320,https://x.com/Un4v5s8bgsVk9Xp/status/1565239663832760320
E00054,2022-09-01,2022-09-01T07:26:31.261000+00:00,,batch_countdown,,,,,,9,,取り敢えず、次の10話分あと9話。,text_explicit,high,,1565239663832760320,https://x.com/Un4v5s8bgsVk9Xp/status/1565239663832760320
E00055,2022-09-01,2022-09-01T07:26:31.261000+00:00,,batch_scope,,,,,,,10,取り敢えず、次の10話分あと9話。,text_explicit,high,,1565239663832760320,https://x.com/Un4v5s8bgsVk9Xp/status/1565239663832760320
E00056,2022-09-01,2022-09-01T07:26:31.261000+00:00,,ancillary_work,,,tankobon,,,,,単行本用表紙制作中。,text_explicit,high,,1565239663832760320,https://x.com/Un4v5s8bgsVk9Xp/status/1565239663832760320
E00057,2022-09-01,2022-09-01T07:26:31.261000+00:00,,ancillary_work,,,tankobon,,,,,単行本原稿加筆修正中。,text_explicit,high,,1565239663832760320,https://x.com/Un4v5s8bgsVk9Xp/status/1565239663832760320
E00058,2022-09-02,2022-09-02T03:01:12.946000+00:00,393,chapter_stage,chapter_level,retake,,,,,,リテイクのリテイク返却待ち。,text_explicit,high,"bare status, scoped to chapter",1565535285445701633,https://x.com/Un4v5s8bgsVk9Xp/status/1565535285445701633
E00059,2022-09-02,2022-09-02T03:01:12.946000+00:00,394,chapter_stage,chapter_level,retake,,,,,,リテイク返却待ち。,text_explicit,high,"bare status, scoped to chapter",1565535285445701633,https://x.com/Un4v5s8bgsVk9Xp/status/1565535285445701633
E00060,2022-09-02,2022-09-02T03:01:12.946000+00:00,395,chapter_stage,bg_work,awaiting_return,,,,,,背景効果返却待ち。,text_explicit,high,,1565535285445701633,https://x.com/Un4v5s8bgsVk9Xp/status/1565535285445701633
